,context,question_type,question
68,"In 2013 professors at Harvard University had an average nine month salary of $205,504. This is $2,124 less than professors earned in 2012, the most recently reported prior year, and a 1.0 percent decrease in earnings in comparison to the previous year's average nine month salary ($207,628). In 2013 professors at Harvard University had an average monthly salary of $22,834. This is $236 less than professors earned per month in 2012, the most recently reported prior year, and a 1.0 percent decrease in monthly earnings in comparison to the previous year's average monthly salary ($23,070).In 2013 professors at Harvard University had an effective annual salary of $274,005. This is $2,832 less than professors earned in 2012, the most recently reported prior year, and a 1.0 percent decrease in effective annual salary in comparison to the previous year's average annual salary ($276,837). In 2013 professors at Harvard University had an average monthly salary of $22,834. This is $236 less than professors earned per month in 2012, the most recently reported prior year, and a 1.0 percent decrease in monthly earnings in comparison to the previous year's average monthly salary ($23,070).",open-ended,"['How did the average monthly salary of Harvard professors change between 2012 and 2013?', 'What factors might contribute to the decrease in professor salaries at Harvard during this period?']"
69,"In June 1970, Nasser accepted the US-sponsored Rogers Plan, which called for an end to hostilities and an Israeli withdrawal from Egyptian territory, but it was rejected by Israel, the PLO, and most Arab states except Jordan. Nasser had initially rejected the plan, but conceded under pressure from the Soviet Union, which feared that escalating regional conflict could drag it into a war with the US. He also determined that a ceasefire could serve as a tactical step toward the strategic goal of recapturing the Suez Canal. Nasser forestalled any movement toward direct negotiations with Israel. In dozens of speeches and statements, Nasser posited the equation that any direct peace talks with Israel were tantamount to surrender. Following Nasser's acceptance, Israel agreed to a ceasefire and Nasser used the lull in fighting to move SAM missiles towards the canal zone.",binary,"['Did Israel accept the Rogers Plan?', 'Did Nasser believe that direct talks with Israel were a good idea?', 'Did the Rogers Plan lead to a lasting peace?']"
70,"In June 1970, Nasser accepted the US-sponsored Rogers Plan, which called for an end to hostilities and an Israeli withdrawal from Egyptian territory, but it was rejected by Israel, the PLO, and most Arab states except Jordan. Nasser had initially rejected the plan, but conceded under pressure from the Soviet Union, which feared that escalating regional conflict could drag it into a war with the US. He also determined that a ceasefire could serve as a tactical step toward the strategic goal of recapturing the Suez Canal. Nasser forestalled any movement toward direct negotiations with Israel. In dozens of speeches and statements, Nasser posited the equation that any direct peace talks with Israel were tantamount to surrender. Following Nasser's acceptance, Israel agreed to a ceasefire and Nasser used the lull in fighting to move SAM missiles towards the canal zone.",factual,"['When did Nasser accept the Rogers Plan?', 'Who sponsored the Rogers Plan?', 'Why did the Soviet Union pressure Nasser to accept the plan?', 'What did the Rogers Plan call for?', 'What did Nasser do during the ceasefire?']"
71,"In June 1970, Nasser accepted the US-sponsored Rogers Plan, which called for an end to hostilities and an Israeli withdrawal from Egyptian territory, but it was rejected by Israel, the PLO, and most Arab states except Jordan. Nasser had initially rejected the plan, but conceded under pressure from the Soviet Union, which feared that escalating regional conflict could drag it into a war with the US. He also determined that a ceasefire could serve as a tactical step toward the strategic goal of recapturing the Suez Canal. Nasser forestalled any movement toward direct negotiations with Israel. In dozens of speeches and statements, Nasser posited the equation that any direct peace talks with Israel were tantamount to surrender. Following Nasser's acceptance, Israel agreed to a ceasefire and Nasser used the lull in fighting to move SAM missiles towards the canal zone.",open-ended,"['How did the Rogers Plan aim to resolve the conflict between Israel and Egypt?', ""What were the domestic and international pressures that influenced Nasser's decision-making?"", 'How did the ceasefire impact the balance of power in the region?']"
72,"In June, the fleets transported the Allied expeditionary forces to Varna, in support of the Ottoman operations on the Danube; in September they again transported the armies, this time to the Crimea. The Russian fleet during this time declined to engage the allies, preferring to maintain a ""fleet in being""; this strategy failed when Sevastopol, the main port and where most of the Black Sea fleet was based, came under siege. The Russians were reduced to scuttling their warships as blockships, after stripping them of their guns and men to reinforce batteries on shore. During the siege, the Russians lost four 110- or 120-gun, three-decker ships of the line, twelve 84-gun two-deckers and four 60-gun frigates in the Black Sea, plus a large number of smaller vessels. During the rest of the campaign the allied fleets remained in control of the Black Sea, ensuring the various fronts were kept supplied.",binary,"['Did the Russian fleet engage the allied fleets?', 'Was the ""fleet in being"" strategy successful?', 'Did the allied fleets control the Black Sea after the siege of Sevastopol?']"
73,"In June, the fleets transported the Allied expeditionary forces to Varna, in support of the Ottoman operations on the Danube; in September they again transported the armies, this time to the Crimea. The Russian fleet during this time declined to engage the allies, preferring to maintain a ""fleet in being""; this strategy failed when Sevastopol, the main port and where most of the Black Sea fleet was based, came under siege. The Russians were reduced to scuttling their warships as blockships, after stripping them of their guns and men to reinforce batteries on shore. During the siege, the Russians lost four 110- or 120-gun, three-decker ships of the line, twelve 84-gun two-deckers and four 60-gun frigates in the Black Sea, plus a large number of smaller vessels. During the rest of the campaign the allied fleets remained in control of the Black Sea, ensuring the various fronts were kept supplied.",factual,"['Where did the fleets transport the Allied forces in June?', 'What strategy did the Russian fleet employ?', 'What was the primary function of the allied fleets in the Black Sea?', 'How many 84-gun two-deckers did the Russians lose during the siege?', 'What happened to Sevastopol during the conflict?']"
74,"In June, the fleets transported the Allied expeditionary forces to Varna, in support of the Ottoman operations on the Danube; in September they again transported the armies, this time to the Crimea. The Russian fleet during this time declined to engage the allies, preferring to maintain a ""fleet in being""; this strategy failed when Sevastopol, the main port and where most of the Black Sea fleet was based, came under siege. The Russians were reduced to scuttling their warships as blockships, after stripping them of their guns and men to reinforce batteries on shore. During the siege, the Russians lost four 110- or 120-gun, three-decker ships of the line, twelve 84-gun two-deckers and four 60-gun frigates in the Black Sea, plus a large number of smaller vessels. During the rest of the campaign the allied fleets remained in control of the Black Sea, ensuring the various fronts were kept supplied.",open-ended,"['How did the Allied control of the Black Sea impact the course of the war?', 'What were the strategic implications of the Russian fleet\'s decision to maintain a ""fleet in being""?', 'How did the loss of Sevastopol affect the Russian war effort?']"
75,"In Mexico, Carnival is celebrated in about 225 cities and towns. The largest is in Mazatlán and the city of Veracruz with others in Baja California and Yucatán. The larger city Carnivals employ costumes, elected queens and parades with floats, but Carnival celebrations in smaller and rural areas vary widely depending on the level of European influence during Mexico's colonial period. The largest of these is in Huejotzingo, Puebla where most townspeople take part in mock combat with rifles shooting blanks, roughly based on the Battle of Puebla. Other important states with local traditions include Morelos, Oaxaca, Tlaxcala and Chiapas.",binary,"['Is Carnival celebrated in all cities and towns in Mexico?', 'Is the Carnival celebration in Veracruz smaller than in Mazatlán?', 'Do Carnival celebrations in rural areas typically involve costumes and parades?', ""Does the mock combat in Huejotzingo's Carnival involve live ammunition?"", 'Is the Battle of Puebla a significant event in Mexican history?']"
76,"In Mexico, Carnival is celebrated in about 225 cities and towns. The largest is in Mazatlán and the city of Veracruz with others in Baja California and Yucatán. The larger city Carnivals employ costumes, elected queens and parades with floats, but Carnival celebrations in smaller and rural areas vary widely depending on the level of European influence during Mexico's colonial period. The largest of these is in Huejotzingo, Puebla where most townspeople take part in mock combat with rifles shooting blanks, roughly based on the Battle of Puebla. Other important states with local traditions include Morelos, Oaxaca, Tlaxcala and Chiapas.",factual,"['How many cities and towns in Mexico celebrate Carnival?', 'Which city hosts the largest Carnival celebration in Mexico?', 'What is the unique tradition of Carnival in Huejotzingo, Puebla?', 'What influences the variations in Carnival celebrations across Mexico?', 'Which states are known for their local Carnival traditions in Mexico?']"
77,"In Mexico, Carnival is celebrated in about 225 cities and towns. The largest is in Mazatlán and the city of Veracruz with others in Baja California and Yucatán. The larger city Carnivals employ costumes, elected queens and parades with floats, but Carnival celebrations in smaller and rural areas vary widely depending on the level of European influence during Mexico's colonial period. The largest of these is in Huejotzingo, Puebla where most townspeople take part in mock combat with rifles shooting blanks, roughly based on the Battle of Puebla. Other important states with local traditions include Morelos, Oaxaca, Tlaxcala and Chiapas.",open-ended,"['How is Carnival celebrated in larger cities in Mexico?', 'How do Carnival celebrations differ in smaller and rural areas of Mexico?', ""What is the significance of the mock combat tradition in Huejotzingo's Carnival?"", 'How has European influence shaped Carnival traditions in Mexico?', 'What are some common elements of Carnival celebrations across Mexico?']"
78,"In early 1942, the governments of smaller powers began to push for an inter-governmental Asia-Pacific war council, based in Washington, D.C.. A council was established in London, with a subsidiary body in Washington. However, the smaller powers continued to push for an American-based body. The Pacific War Council was formed in Washington, on 1 April 1942, with President Franklin D. Roosevelt, his key advisor Harry Hopkins, and representatives from Britain, China, Australia, the Netherlands, New Zealand, and Canada. Representatives from India and the Philippines were later added. The council never had any direct operational control, and any decisions it made were referred to the U.S.-UK Combined Chiefs of Staff, which was also in Washington. Allied resistance, at first symbolic, gradually began to stiffen. Australian and Dutch forces led civilians in a prolonged guerilla campaign in Portuguese Timor.",binary,"['Did the Pacific War Council have direct operational control?', 'Was the initial Allied resistance in the Pacific strong?', 'Did the formation of the Pacific War Council ease tensions between the Allies?']"
79,"In early 1942, the governments of smaller powers began to push for an inter-governmental Asia-Pacific war council, based in Washington, D.C.. A council was established in London, with a subsidiary body in Washington. However, the smaller powers continued to push for an American-based body. The Pacific War Council was formed in Washington, on 1 April 1942, with President Franklin D. Roosevelt, his key advisor Harry Hopkins, and representatives from Britain, China, Australia, the Netherlands, New Zealand, and Canada. Representatives from India and the Philippines were later added. The council never had any direct operational control, and any decisions it made were referred to the U.S.-UK Combined Chiefs of Staff, which was also in Washington. Allied resistance, at first symbolic, gradually began to stiffen. Australian and Dutch forces led civilians in a prolonged guerilla campaign in Portuguese Timor.",factual,"['Where was the initial Asia-Pacific war council established?', 'When was the Pacific War Council formed in Washington?', 'Who were the initial members of the Pacific War Council?', ""Which countries' representatives were later added to the council?"", ""Who had operational control over the Pacific War Council's decisions?""]"
80,"In early 1942, the governments of smaller powers began to push for an inter-governmental Asia-Pacific war council, based in Washington, D.C.. A council was established in London, with a subsidiary body in Washington. However, the smaller powers continued to push for an American-based body. The Pacific War Council was formed in Washington, on 1 April 1942, with President Franklin D. Roosevelt, his key advisor Harry Hopkins, and representatives from Britain, China, Australia, the Netherlands, New Zealand, and Canada. Representatives from India and the Philippines were later added. The council never had any direct operational control, and any decisions it made were referred to the U.S.-UK Combined Chiefs of Staff, which was also in Washington. Allied resistance, at first symbolic, gradually began to stiffen. Australian and Dutch forces led civilians in a prolonged guerilla campaign in Portuguese Timor.",open-ended,"[""What were the motivations behind the smaller powers' push for an American-based war council?"", 'How did the Pacific War Council influence Allied strategy in the Pacific Theater?', 'What was the significance of the guerilla campaign in Portuguese Timor?']"
81,"In the US, African Americans, who include multiracial people, earn 75% of what white people earn. In Brazil, people of color earn less than 50% of what whites earn. Some have posited that the facts of lower socioeconomic status for people of color suggest that Brazil practices a kind of one-drop rule, or discrimination against people who are not visibly European in ancestry. The gap in income between blacks and other non-whites is relatively small compared to the large gap between whites and all people of color. Other social factors, such as illiteracy and education levels, show the same patterns of disadvantage for people of color. Some commentators observe that the United States practice of segregation and white supremacy in the South, and discrimination in many areas outside that region, forced many African Americans to unite in the civil rights struggle. They suggest that the fluid nature of race in Brazil has divided individuals of African descent, between those with more or less ancestry. As a result, they have not united for a stronger civil rights movement.[citation needed]",binary,"['Do African Americans in the US earn less than white people?', 'Is there a significant income gap between whites and people of color in Brazil?', 'Has the fluid nature of race in Brazil hindered a unified civil rights movement?']"
82,"In the US, African Americans, who include multiracial people, earn 75% of what white people earn. In Brazil, people of color earn less than 50% of what whites earn. Some have posited that the facts of lower socioeconomic status for people of color suggest that Brazil practices a kind of one-drop rule, or discrimination against people who are not visibly European in ancestry. The gap in income between blacks and other non-whites is relatively small compared to the large gap between whites and all people of color. Other social factors, such as illiteracy and education levels, show the same patterns of disadvantage for people of color. Some commentators observe that the United States practice of segregation and white supremacy in the South, and discrimination in many areas outside that region, forced many African Americans to unite in the civil rights struggle. They suggest that the fluid nature of race in Brazil has divided individuals of African descent, between those with more or less ancestry. As a result, they have not united for a stronger civil rights movement.[citation needed]",factual,"[""What percentage of white people's earnings do African Americans earn in the US?"", 'What is the income gap between people of color and whites in Brazil?', 'What social factors, besides income, show disadvantage for people of color?', 'What historical factors contributed to the civil rights movement in the US?']"
83,"In the US, African Americans, who include multiracial people, earn 75% of what white people earn. In Brazil, people of color earn less than 50% of what whites earn. Some have posited that the facts of lower socioeconomic status for people of color suggest that Brazil practices a kind of one-drop rule, or discrimination against people who are not visibly European in ancestry. The gap in income between blacks and other non-whites is relatively small compared to the large gap between whites and all people of color. Other social factors, such as illiteracy and education levels, show the same patterns of disadvantage for people of color. Some commentators observe that the United States practice of segregation and white supremacy in the South, and discrimination in many areas outside that region, forced many African Americans to unite in the civil rights struggle. They suggest that the fluid nature of race in Brazil has divided individuals of African descent, between those with more or less ancestry. As a result, they have not united for a stronger civil rights movement.[citation needed]",open-ended,"['How do the experiences of people of color in the US and Brazil compare and contrast?', 'What are the potential consequences of the income and social disparities between racial groups?', 'How does the concept of race and its fluidity impact social and political dynamics?']"
84,"Introduction. A carcinoembryonic antigen (CEA) test is used to check how well treatment is working in certain types of cancer, particularly colon cancer. Carcinoembryonic antigens are harmful substances (usually proteins) that are produced by some types of cancer. Carcinoembryonic Antigen Test (CEA). A carcinoembryonic antigen (CEA) test is a blood test used to help diagnose and manage certain types of cancers, especially cancer of the colon. The test measures the amount of CEA present in the blood. If you already have cancer, this test helps a doctor determine if the treatment for the cancer is working. A CEA test is most useful to monitor patients who already have been diagnosed with a type of cancer that is known to produce CEA. Not all cancers produce CEA. Increased levels of CEA may be found in the following cancers: 1  colorectal (colon) cancer. 2  medullary thyroid carcinoma.",binary,"['Is a CEA test a blood test?', 'Do all types of cancer produce CEA?', 'Is a CEA test used to diagnose cancer?']"
85,"Introduction. A carcinoembryonic antigen (CEA) test is used to check how well treatment is working in certain types of cancer, particularly colon cancer. Carcinoembryonic antigens are harmful substances (usually proteins) that are produced by some types of cancer. Carcinoembryonic Antigen Test (CEA). A carcinoembryonic antigen (CEA) test is a blood test used to help diagnose and manage certain types of cancers, especially cancer of the colon. The test measures the amount of CEA present in the blood. If you already have cancer, this test helps a doctor determine if the treatment for the cancer is working. A CEA test is most useful to monitor patients who already have been diagnosed with a type of cancer that is known to produce CEA. Not all cancers produce CEA. Increased levels of CEA may be found in the following cancers: 1  colorectal (colon) cancer. 2  medullary thyroid carcinoma.",factual,"['What does a carcinoembryonic antigen (CEA) test measure?', 'What type of cancer is the CEA test particularly useful for monitoring?', 'What are carcinoembryonic antigens?', 'Which cancers are known to produce increased levels of CEA?']"
86,"Introduction. A carcinoembryonic antigen (CEA) test is used to check how well treatment is working in certain types of cancer, particularly colon cancer. Carcinoembryonic antigens are harmful substances (usually proteins) that are produced by some types of cancer. Carcinoembryonic Antigen Test (CEA). A carcinoembryonic antigen (CEA) test is a blood test used to help diagnose and manage certain types of cancers, especially cancer of the colon. The test measures the amount of CEA present in the blood. If you already have cancer, this test helps a doctor determine if the treatment for the cancer is working. A CEA test is most useful to monitor patients who already have been diagnosed with a type of cancer that is known to produce CEA. Not all cancers produce CEA. Increased levels of CEA may be found in the following cancers: 1  colorectal (colon) cancer. 2  medullary thyroid carcinoma.",open-ended,"['How does a CEA test help doctors assess cancer treatment effectiveness?', 'Why is a CEA test most useful in patients already diagnosed with certain types of cancer?', 'Can you explain the significance of elevated CEA levels in the context of cancer?']"
87,"Levoscoliosis is a left curvature of the spine. It can be mild, which does not normally cause any health problems, or more severe, which can cause problems. It can be found in the lumbar (lower back) or thoracic (mid-back) area. Levoscoliosis is a slight left curvature of the spine.     The lumbar region is between the thoracic and the sacral (sacrum) areas of the spine. It include L1 through … L5. Generally, this area lies between the 10th rib(s) down to 1-2 below the top of the pelvis.The standard definition of scoliosis is the curvature of the spine in one direction or another. Levoscoliosis is the curvature of the spine to the left side of the body. Levoscoliosis has the same signs and symptoms as the classical scoliosis, but due to the location of the heart there are added health concerns due to with the left curvature in the thoracic spine (midback). The symptoms of levoscoliosis can appear at any time and is primarily observed by back pain and/or changes in posture. Postural changes can include: one shoulder higher than the other, a protruding shoulder blade, uneven hips, etc.",binary,"['Can levoscoliosis cause health problems?', 'Is levoscoliosis a curvature of the spine to the right?', 'Does levoscoliosis have different symptoms than classical scoliosis?']"
88,"Levoscoliosis is a left curvature of the spine. It can be mild, which does not normally cause any health problems, or more severe, which can cause problems. It can be found in the lumbar (lower back) or thoracic (mid-back) area. Levoscoliosis is a slight left curvature of the spine.     The lumbar region is between the thoracic and the sacral (sacrum) areas of the spine. It include L1 through … L5. Generally, this area lies between the 10th rib(s) down to 1-2 below the top of the pelvis.The standard definition of scoliosis is the curvature of the spine in one direction or another. Levoscoliosis is the curvature of the spine to the left side of the body. Levoscoliosis has the same signs and symptoms as the classical scoliosis, but due to the location of the heart there are added health concerns due to with the left curvature in the thoracic spine (midback). The symptoms of levoscoliosis can appear at any time and is primarily observed by back pain and/or changes in posture. Postural changes can include: one shoulder higher than the other, a protruding shoulder blade, uneven hips, etc.",factual,"['What is levoscoliosis?', 'Where in the spine can levoscoliosis occur?', 'What is the standard definition of scoliosis?', 'What are the symptoms of levoscoliosis?']"
89,"Levoscoliosis is a left curvature of the spine. It can be mild, which does not normally cause any health problems, or more severe, which can cause problems. It can be found in the lumbar (lower back) or thoracic (mid-back) area. Levoscoliosis is a slight left curvature of the spine.     The lumbar region is between the thoracic and the sacral (sacrum) areas of the spine. It include L1 through … L5. Generally, this area lies between the 10th rib(s) down to 1-2 below the top of the pelvis.The standard definition of scoliosis is the curvature of the spine in one direction or another. Levoscoliosis is the curvature of the spine to the left side of the body. Levoscoliosis has the same signs and symptoms as the classical scoliosis, but due to the location of the heart there are added health concerns due to with the left curvature in the thoracic spine (midback). The symptoms of levoscoliosis can appear at any time and is primarily observed by back pain and/or changes in posture. Postural changes can include: one shoulder higher than the other, a protruding shoulder blade, uneven hips, etc.",open-ended,"['How does the severity of levoscoliosis affect potential health problems?', 'What are the specific health concerns associated with levoscoliosis in the thoracic spine?', 'Can you explain the postural changes that may indicate levoscoliosis?']"
90,"Louis' advisors believed that, as long as Strasbourg remained independent, it would endanger the King's newly annexed territories in Alsace, and, that to defend these large rural lands effectively, a garrison had to be placed in towns such as Strasbourg. Indeed, the bridge over the Rhine at Strasbourg had been used repeatedly by Imperial (Holy Roman Empire) forces, and three times during the Franco-Dutch War Strasbourg had served as a gateway for Imperial invasions into Alsace. In September 1681 Louis' forces, though lacking a clear casus belli, surrounded the city with overwhelming force. After some negotiation, Louis marched into the city unopposed on 30 September 1681 and proclaimed its annexation.",binary,"[""Did Louis' forces have a clear justification for war when they surrounded Strasbourg?"", 'Was Strasbourg important for the defense of Alsace?', 'Did Louis annex Strasbourg peacefully?']"
91,"Louis' advisors believed that, as long as Strasbourg remained independent, it would endanger the King's newly annexed territories in Alsace, and, that to defend these large rural lands effectively, a garrison had to be placed in towns such as Strasbourg. Indeed, the bridge over the Rhine at Strasbourg had been used repeatedly by Imperial (Holy Roman Empire) forces, and three times during the Franco-Dutch War Strasbourg had served as a gateway for Imperial invasions into Alsace. In September 1681 Louis' forces, though lacking a clear casus belli, surrounded the city with overwhelming force. After some negotiation, Louis marched into the city unopposed on 30 September 1681 and proclaimed its annexation.",factual,"[""Why did Louis' advisors want to annex Strasbourg?"", 'How many times did Strasbourg serve as a gateway for Imperial invasions during the Franco-Dutch War?', ""When did Louis' forces surround Strasbourg?"", 'What did Louis proclaim on 30 September 1681?', 'Who used the bridge over the Rhine at Strasbourg repeatedly?']"
92,"Louis' advisors believed that, as long as Strasbourg remained independent, it would endanger the King's newly annexed territories in Alsace, and, that to defend these large rural lands effectively, a garrison had to be placed in towns such as Strasbourg. Indeed, the bridge over the Rhine at Strasbourg had been used repeatedly by Imperial (Holy Roman Empire) forces, and three times during the Franco-Dutch War Strasbourg had served as a gateway for Imperial invasions into Alsace. In September 1681 Louis' forces, though lacking a clear casus belli, surrounded the city with overwhelming force. After some negotiation, Louis marched into the city unopposed on 30 September 1681 and proclaimed its annexation.",open-ended,"[""What were the strategic implications of Strasbourg's location for both France and the Holy Roman Empire?"", ""How did Louis XIV's annexation of Strasbourg exemplify his expansionist policies?"", 'What role did military strategy play in the annexation of Strasbourg?']"
93,"Most basal cell and squamous cell skin cancers are caused by repeated and unprotected skin exposure to ultraviolet (UV) rays from sunlight, as well as from man-made sources such as tanning beds. UV rays can damage the DNA inside skin cells. DNA is the chemical in each of our cells that makes up our genes. Researchers don’t yet know all of the DNA changes that result in skin cancer, but they have found that in many skin cancers the cells have changes in tumor suppressor genes. The gene most often altered in squamous cell cancers is called TP53. This tumor suppressor gene normally causes cells with damaged DNA to die.In this article. Font Size. A. A. A. Squamous cell carcinoma (SCC) is the second most common form of skin cancer. It’s usually found on areas of the body damaged by UV rays from the sun or tanning beds. Sun-exposed skin includes the head, neck, ears, lips, arms, legs, and hands. SCC is a fairly slow-growing skin cancer.",binary,"['Is skin cancer preventable?', ' Can UV rays harm DNA?', 'Is squamous cell carcinoma a type of skin cancer?']"
94,"Most basal cell and squamous cell skin cancers are caused by repeated and unprotected skin exposure to ultraviolet (UV) rays from sunlight, as well as from man-made sources such as tanning beds. UV rays can damage the DNA inside skin cells. DNA is the chemical in each of our cells that makes up our genes. Researchers don’t yet know all of the DNA changes that result in skin cancer, but they have found that in many skin cancers the cells have changes in tumor suppressor genes. The gene most often altered in squamous cell cancers is called TP53. This tumor suppressor gene normally causes cells with damaged DNA to die.In this article. Font Size. A. A. A. Squamous cell carcinoma (SCC) is the second most common form of skin cancer. It’s usually found on areas of the body damaged by UV rays from the sun or tanning beds. Sun-exposed skin includes the head, neck, ears, lips, arms, legs, and hands. SCC is a fairly slow-growing skin cancer.",factual,"['What are two common types of skin cancer?', 'What are the primary causes of these skin cancers?', 'What is the role of DNA in cells?', 'Name the most often altered gene in squamous cell cancers?', 'What is the function of the TP53 gene?']"
95,"Most basal cell and squamous cell skin cancers are caused by repeated and unprotected skin exposure to ultraviolet (UV) rays from sunlight, as well as from man-made sources such as tanning beds. UV rays can damage the DNA inside skin cells. DNA is the chemical in each of our cells that makes up our genes. Researchers don’t yet know all of the DNA changes that result in skin cancer, but they have found that in many skin cancers the cells have changes in tumor suppressor genes. The gene most often altered in squamous cell cancers is called TP53. This tumor suppressor gene normally causes cells with damaged DNA to die.In this article. Font Size. A. A. A. Squamous cell carcinoma (SCC) is the second most common form of skin cancer. It’s usually found on areas of the body damaged by UV rays from the sun or tanning beds. Sun-exposed skin includes the head, neck, ears, lips, arms, legs, and hands. SCC is a fairly slow-growing skin cancer.",open-ended,"['How can someone reduce their risk of developing skin cancer?', ' Discuss the latest research advancements in skin cancer treatment?']"
96,"Normally for these kinds of questions the answer always boils down to depend on your use case.. However, in this case, you've asked which ETL tool is better, listed two tools, but only one of them is an ETL tool. So this answer is easy, Talend. Alteryx is not an ETL tool. It is a data blending and data science tool. It is missing many of the common things you needs from ETL tools (dependency management, restart and recovery, logging and auditing). Likewise, Talend doesn't have a lot of the data mining and predictive analytics functions that Alteryx has, nor the built it integration to external data sets.Use Cases and Deployment Scope. Alteryx is a strong ETL tool that can be used to manipulate. In the past, I've used the tool to prepare data for custom production teams as well as a member of a custom productions team to meet customer needs. The standardization and geospatial tools are particularly useful.",binary,"['Is Talend considered an ETL tool?', 'Does Alteryx have strong data mining capabilities?', 'Is Alteryx suitable for preparing data for production teams?']"
97,"Normally for these kinds of questions the answer always boils down to depend on your use case.. However, in this case, you've asked which ETL tool is better, listed two tools, but only one of them is an ETL tool. So this answer is easy, Talend. Alteryx is not an ETL tool. It is a data blending and data science tool. It is missing many of the common things you needs from ETL tools (dependency management, restart and recovery, logging and auditing). Likewise, Talend doesn't have a lot of the data mining and predictive analytics functions that Alteryx has, nor the built it integration to external data sets.Use Cases and Deployment Scope. Alteryx is a strong ETL tool that can be used to manipulate. In the past, I've used the tool to prepare data for custom production teams as well as a member of a custom productions team to meet customer needs. The standardization and geospatial tools are particularly useful.",factual,"['What type of tool is Alteryx?', 'Which functionalities are missing in Alteryx as an ETL tool?', 'What specific Alteryx tools are mentioned as particularly useful?']"
98,"Normally for these kinds of questions the answer always boils down to depend on your use case.. However, in this case, you've asked which ETL tool is better, listed two tools, but only one of them is an ETL tool. So this answer is easy, Talend. Alteryx is not an ETL tool. It is a data blending and data science tool. It is missing many of the common things you needs from ETL tools (dependency management, restart and recovery, logging and auditing). Likewise, Talend doesn't have a lot of the data mining and predictive analytics functions that Alteryx has, nor the built it integration to external data sets.Use Cases and Deployment Scope. Alteryx is a strong ETL tool that can be used to manipulate. In the past, I've used the tool to prepare data for custom production teams as well as a member of a custom productions team to meet customer needs. The standardization and geospatial tools are particularly useful.",open-ended,"['How do Talend and Alteryx differ in their functionalities?', 'What are some common use cases for ETL tools?', 'Why might someone choose Alteryx over Talend for certain data tasks?']"
